Input.original_text,Input.strategy,Input.Generated_1,Input.Generated_2,Input.Generated_3,Input.Generated_4,Answer.gen_1_statement_correct,Answer.gen_2_statement_correct,Answer.gen_3_statement_correct,Answer.gen_4_statement_correct,Input.Model_1,Input.Model_2,Input.Model_3,Input.Model_4,Input.Task
We're having an inspection from DOT this week at work and I have to work late every shift this week. I also have midterms at school and trying to cut for this casting call like lord be with me !!,['growth'],"I'm grateful for the opportunity to grow and develop my skills this week with the DOT inspection at work, and I'm confident that I can manage my midterms and the casting call while still doing my best","God will be with me to do my work, because I have a lot of work.","This week is full of growth opportunities for me! I have an inspection from DOT at work, which will allow me to learn and improve my skills",I'm having an inspection from DOT this week at work and I have to work late every shift this week,rank_1,rank_4,rank_2,rank_3,text-davinci-003,human,chatgpt,text-davinci-001,positive_reframing
I just want someone to come over with a BIG bag of peanut butter m&ms!!!,['optimism'],I just want someone to come over with a BIG bag of peanut butter mms that will make me feel optimistic about the future!,Someone will be there to comfort me when I need it the most.,1,I just want someone to come over with a BIG bag of peanut butter mms!!!I'm so grateful that someone is coming over with a big bag of my favorite candy!,rank_1,rank_2,rank_4,rank_3,text-curie-001,human,text-ada-001,text-davinci-002,positive_reframing
Nvr fkn again will i procrastinate on my hw. Didntt even fully finish my essay but i am too sleepy. Gnite :/,['growth'],I am excited to continue my homework and grow as a student!,1,I am grateful for the opportunity to grow and improve myself by overcoming this challenge,Didn't fully finish my essay but I am too sleepy. Time to learn how to not procrastinate.,rank_2,rank_4,rank_3,rank_1,text-curie-001,text-ada-001,text-davinci-002,human,positive_reframing
Being an fan and a fan may be the most stressful thing Ill ever have to deal with,['optimism'],"Being an fan and a fan may be stressful, but it's also an opportunity for the author to grow and improve themselves",Being a fan can be a very rewarding experience,1,"Being a fan is a stressful thing; the benefits are great, though.",rank_2,rank_1,rank_4,rank_3,text-davinci-002,text-curie-001,text-ada-001,human,positive_reframing
Why is ebay so complicated to sell stuff! Rather flog my stuff out the boot of my car,['neutralizing'],"eBay can be complicated to sell stuff, but it's also a great way to reach a lot of people","Selling on eBay may have a learning curve, but it presents an opportunity for growth and improvement","Selling on eBay can be a great way to reach a larger audience and expand my business, so I'm grateful for the opportunity it provides","Selling stuff on eBay is not so easy. However, there isn't an alternative.",rank_2,rank_1,rank_4,rank_3,text-davinci-001,chatgpt,text-davinci-003,human,positive_reframing
When I sleep that's the only part of the day that I don't wonder about you running through my head constantly,['neutralizing'],1,"When I sleep, I know that you're not running through my head constantly",I'm grateful that I can sleep and have some respite from thinking about you constantly,I need to focus on what's important and stop thinking about that person all the time.,rank_4,rank_2,rank_1,rank_3,text-ada-001,text-curie-001,text-davinci-002,human,positive_reframing
Completely drained after taking all these meds and being sick for 6 days needtostudy 2midterms,['impermanence'],"Being sick during midterms is a lot to deal with, but I know tests will be over soon.","After taking all these meds and being sick for 6 days, I am grateful for the opportunity to grow and improve myself by studying for two midterms, knowing that this difficult period will not last forever","I am completely drained after taking all these meds and being sick for 6 days, but I know that I will grow from this experience","Although I've been sick for six days and had to take a lot of medication, I know that this won't last forever and I'll start feeling better soon",rank_3,rank_2,rank_4,rank_1,human,text-davinci-003,text-davinci-001,chatgpt,positive_reframing
Dreamt last night I won a Fell Race and got disqualified for wearing bright orange track shoes with custom spikes?!,['growth'],"I am grateful that I won the Fell Race, and even though I got disqualified for wearing bright orange track shoes with custom spikes, I am grateful for the opportunity to grow and improve myself",I won a Fell Race and felt incredibly proud of myself!,"The strategies below will help the reader to see the challenges in a different light, and to see that they are not necessary when trying to grow or improve themselves",Funny dream last night where I won a race but was dq'ed for custom shoes. Looks like I need to get more into fashion,rank_3,rank_2,rank_4,rank_1,text-davinci-002,text-curie-001,text-ada-001,human,positive_reframing
I just want to go to the beach and forget about life for a little bit.,['neutralizing'],I'm looking forward to taking some time at the beach to relax and recharge,"I would love to take a break and enjoy the beach for a while, leaving behind the stresses of life",I just want to go to the beach and forget about life for a little bit,want to go to the beach to have my own time to organize my thoughts and relax,rank_2,rank_1,rank_3,rank_4,text-davinci-003,chatgpt,text-davinci-001,human,positive_reframing
Seriously crying myself to sleep right now. So ready for Monday to be over. I HATE being a college student.,"['impermanence', 'optimism']","I'm feeling a bit overwhelmed by college right now, but I'm grateful for the opportunity to learn and grow",I'm so excited for tomorrow. It will be a new day with new opportunities,"I'm really struggling right now, but I know that it won't last forever","Although today was tough, I know that it won't last forever",rank_1,rank_4,rank_3,rank_2,text-davinci-003,human,text-davinci-001,chatgpt,positive_reframing
hear back from the vet hospital Wednesday. Also being pressured to accept a small promotion at my current job by about Friday..,"['optimism', 'thankfulness']",I will hear back from the vet hospital Wednesday,I'm so thankful to be offered a promotion at my job.,I am optimistic that I will hear back from the vet hospital on Wednesday and am thankful for the opportunity to potentially help my furry friend,I'm looking forward to hearing back from the vet hospital Wednesday and am thankful for the opportunity to consider a small promotion at my current job by Friday,rank_4,rank_2,rank_3,rank_1,text-davinci-001,human,chatgpt,text-davinci-003,positive_reframing
"All I want to do after a long day at work is come home, turn on my Xbox and play/stream. Why does it seem like every time I do this there is yet another update? Feeling super frustrated, just ranting is all. overit",['optimism'],1,I'm grateful that I have an Xbox to come home to after a long day at work,"I had a long day at work, and my Xbox is updating, but I just have to be patient, and soon it will be done, and I can start having fun!",1,rank_4,rank_1,rank_2,rank_3,text-ada-001,text-davinci-002,human,text-curie-001,positive_reframing
I feel like its a problem if after work I feel worse then I did before. poor serverproblems,"['neutralizing', 'self_affirmation']",I feel like its a problem if after work I feel worse then I did before,Being a server is a really hard job but I'm very driven to keep at it.,I feel like it's a good thing if after work I feel better then I did before,1,rank_3,rank_1,rank_2,rank_4,text-davinci-002,human,text-curie-001,text-ada-001,positive_reframing
I've never been so exhausted from studying.. broke my rule for cramming before finals. Gotta do what I gotta do. borderlinegrades,"['impermanence', 'neutralizing', 'optimism']","I'm tired from studying, and I broke my rule for cramming before finals. But I have to be strong, keep going, and in the end everything will be fine.","Despite feeling exhausted from studying, I know that this is just a temporary challenge that I can overcome","I'm pushing myself to the limit to do my best on my finals, and although I'm feeling the strain, I'm grateful for the opportunity to grow and improve","I've never been so exhausted from studying, but I know that I can get through it",rank_1,rank_2,rank_3,rank_4,human,chatgpt,text-davinci-003,text-davinci-001,positive_reframing
That scary moment when you realize you have no clue what you're going to do with your life and you graduate in just a few months.,"['growth', 'optimism']",The scary moment when you realize you have no clue what you're going to do with your life can be viewed as an opportunity for growth,I'm feeling optimistic about the upcoming graduation and the chance to grow and develop new skills as I explore what I want to do with my life,"With a growth mindset, I see this moment as an opportunity to explore and discover what path I want to take in life",I don't know what I'm going to do with my life but I'm graduating in a few months which is nice!,rank_4,rank_1,rank_2,rank_3,text-davinci-001,text-davinci-003,chatgpt,human,positive_reframing
So stressed about how much work I need to do that I can't start working or think about working :/ problem,"['impermanence', 'optimism', 'thankfulness']","So stressed about how much work I need to do, on other the hand I'm thankful for having a job in these difficult times.",I'm grateful for the opportunity to improve myself and grow from this challenge,"I am grateful for my challenges, because they help me grow and improve myself","growth: view a challenge as an opportunity to grow and improve oneself, without being overwhelmedimpermanence: staying positive and healthy despite difficult timesneutralizing: replacing negative words with neutral wordsoptimism: thinking of oneself as positive and capable of making a good decisionself-affirmation: talking about what strengths the author has, or the values they admire",rank_1,rank_3,rank_2,rank_4,human,text-davinci-002,text-curie-001,text-ada-001,positive_reframing
"Anatomy seriously will be the death of me. So much studying and information, so little time every week",['optimism'],1,I look forward to continuing to grow and learn as I face my challenges,"Anatomy is really difficult, but the qualification will be worth it",I'm grateful for the opportunity to improve my understanding of human anatomy,rank_4,rank_3,rank_1,rank_2,text-ada-001,text-curie-001,human,text-davinci-002,positive_reframing
Save money and go to sccc OR have a blackout kinda time at a college where ill be in bankruptcy for the rest of eternity,['optimism'],One strategy for overcoming a challenge is to view it as an opportunity for growth,"I'm grateful to at least go to college, which few people can.",I'm grateful that I'm able to go to college and save money,1,rank_3,rank_1,rank_2,rank_4,text-curie-001,human,text-davinci-002,text-ada-001,positive_reframing
I have so much to do I get anxiety from fear of being anxious. And then I get anxious. It's a terrible cycle,['self_affirmation'],"Even though I have a lot on my plate, I know that I am capable of handling it all",I must try to overcome my anxiety and concentrate in my regular job.,"I have so much to do, but I am confident in my ability to manage my anxiety and use it as an opportunity to grow",I have so much to do that I get anxious from fear of being anxious,rank_2,rank_3,rank_1,rank_4,chatgpt,human,text-davinci-003,text-davinci-001,positive_reframing
