Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,original_text,reframed_text,strategy
I'm optimistic about the future because I see that things will get better soon,"I know that my hand will eventually heal, and I will feel much better.",I'm optimistic about my handwriting because I know that with practice it will get better,I'm grateful that I have 10 stitches in my finger because it gives me an opportunity to grow and improve myself,text-ada-001,human,text-curie-001,text-davinci-002,positive_reframing,10 stitches in my finger my handwriting is type FUCKED UP rn struggling writinghand cantholdafuckingpen,"I know that my hand will eventually heal, and I will feel much better.",['optimism']
"I am grateful that I can identify when I am stressed out, and I am working on finding ways to better cope with my stressors",I don’t feel good when my eczema goes to the extreme as a result of stress.,1,"I'm grateful for my arms and legs, which are able to do so many amazing things",text-davinci-002,human,text-ada-001,text-curie-001,positive_reframing,Its so embarrassing when I am stressed out because my arms and legs get really red and my eczema breaks out to an extreme. blah,I don’t feel good when my eczema goes to the extreme as a result of stress.,['neutralizing']
One way to get foxes out of your woodland/garden is to try to neutralize their fear by replacing negative words with neutral words,I am grateful for the opportunity to improve myself by learning how to get foxes out of my woodland/garden,1,"Foxes are a pain to have as they eat cats and wildlife, but they are beautiful creatures, I will have to be careful with my cat.",text-curie-001,text-davinci-002,text-ada-001,human,positive_reframing,How the frig do you get foxes out your half acre woodland/garden? So worried they will eat my cat  wildlife foxes  woodland garden trees fox animals gardenlife nature GardenersWorld anxiety,"Foxes are a pain to have as they eat cats and wildlife, but they are beautiful creatures, I will have to be careful with my cat.","['neutralizing', 'optimism']"
I'm really excited about the new deadline! It will give me more time to focus on my work and improve it,1,I'm grateful that I have ten more days to work on my project,"My deadline has been moved from the 22nd may to the 12th may, but still I can finish it.",text-curie-001,text-ada-001,text-davinci-002,human,positive_reframing,"So uni have just moved the deadline on my work from the 22nd may to the 12th may, that's ten days less fml","My deadline has been moved from the 22nd may to the 12th may, but still I can finish it.","['neutralizing', 'optimism']"
I am grateful for the opportunity to grow and learn from this challenge,1,The week will be over soon. I will make it through.,I'm grateful for this opportunity to grow and improve myself,text-curie-001,text-ada-001,human,text-davinci-002,positive_reframing,It will be a miracle if I don't have a mental breakdown before this week is over.,The week will be over soon. I will make it through.,['impermanence']
1,I look forward to continuing to grow and learn as I face my challenges,"Anatomy is really difficult, but the qualification will be worth it",I'm grateful for the opportunity to improve my understanding of human anatomy,text-ada-001,text-curie-001,human,text-davinci-002,positive_reframing,"Anatomy seriously will be the death of me. So much studying and information, so little time every week","Anatomy is really difficult, but the qualification will be worth it",['optimism']
"I'm pretty sure someone in need is going to try to do anything to fix his/her life, I just need to be more patient around people.",1,I am grateful for my friends who are always there for me when I need them,"""When I am feeling tired and helpless, looking at my friends becomes others when they are in need of a help",human,text-ada-001,text-davinci-002,text-curie-001,positive_reframing,friends becomes others when they are in need of a help :/ feeling tired bad helpless :|,"I'm pretty sure someone in need is going to try to do anything to fix his/her life, I just need to be more patient around people.","['growth', 'neutralizing', 'self_affirmation']"
"Some strategies to help deal with problems are to view them as an opportunity to grow or improve oneself, to say bad things don't last forever, and to focus on the good in the situation"," Neutralizing:-viewing a challenges as opportunities for the author to grow or improve themselves-saying bad things don't last forever, will get better soon, and/or that others have experienced similar struggles do not stand in the book's favor-replacing a negative word with a neutral word-optimism: focusing on things about the situation itself, in that moment, that are good-self-affirmation: talking about what strengths the author already have, or the values they admire",Deciding when to face my problems or relax x,"Sometimes, face your problems head on",text-curie-001,text-ada-001,human,text-davinci-002,positive_reframing,"Sometimes, face your problems head on. Other times, avoid them like the plague until they sort their lives out stressed x",Deciding when to face my problems or relax x,['neutralizing']
"I get a new opportunity to achieve my goals, even If I fail again, I won't let that affect me, and keep improving!",1,I won't have it done! I skipped a bullet then will go back to it I haven't a hope is an understatement :( gonna cryI won't have it done! I skipped a bullet then will go back to it,"I will continue to grow and learn, even with this challenge",human,text-ada-001,text-davinci-002,text-curie-001,positive_reframing,I won't have it done! I skipped a bullet then will go back to it I haven't a hope is an understatement :( gonna cry,"I get a new opportunity to achieve my goals, even If I fail again, I won't let that affect me, and keep improving!","['growth', 'impermanence', 'optimism']"
Only 2 weeks left of school and there is just a lot of assignments to do. I hope I can finish it on time.,Only 2 weeks left of school and there are just a lot of assignments to do,1 week left of school and there is just a lot of assignments to do,"There is still a lot of work to be done, but with a positive outlook, I am sure I can make it through",human,text-davinci-002,text-ada-001,text-curie-001,positive_reframing,Only 2 weeks left of school and there is just a lot of assignments to do tired,Only 2 weeks left of school and there is just a lot of assignments to do. I hope I can finish it on time.,['optimism']
