Generated_1,Generated_2,Generated_3,Generated_4,Model_1,Model_2,Model_3,Model_4,Task,additional_labels,hypothesis,labels,premise
"To not digest something means to not enjoy it, but in this context the speaker is saying that they enjoy to digest it.","The figurative language in the hypothesis is ""digesting information,"" which means processing and understanding it","The phrase cannot digest means something that is unpleasant to digest or difficult to process, while enjoy means to take pleasure in something.","The phrase ""digest all this information"" is used figuratively to mean understanding and processing the information",baseline,chatgpt,human,text-davinci-003,flute,"The phrase cannot digest means something that is unpleasant to digest or difficult to process, while enjoy means to take pleasure in something.",I cannot digest all this information.,Contradiction,I enjoy to digest all this information.
Cheating on a diet by eating unhealthy food from Burger King would not be good for someone's health and so they would not feel overjoyed after doing that.,Eating at Burger King for lunch is not a good thing because it is a place to eat and so someone who cheated on their diet would not feel happy.,"The hypothesis uses sarcasm to express the opposite of what is expected, making it an example of verbal irony","The figurative language in the hypothesis implies that the speaker is happy about their decision to cheat on their diet, which is the opposite of what they feel in the premise",human,baseline,chatgpt,text-davinci-003,flute,Cheating on a diet by eating unhealthy food from Burger King would not be good for someone's health and so they would not feel overjoyed after doing that.,I feel overjoyed that I cheated on my diet by eating at Burger King for lunch,Contradiction,I'm on a diet but I ate burger king for lunch I feel so  ashamed I cheated.
A sermon is a sermon that is not exciting and so the movie is not exciting.,The hypothesis uses a simile to compare the excitement level of the movie to that of a sermon,"A sermon is not an exciting event, so it would not be as thrilling as something that is exciting","The hypothesis uses a metaphor to compare the excitement of the movie to the excitement of a sermon, suggesting that the movie was very exciting",baseline,chatgpt,human,text-davinci-003,flute,"A sermon is not an exciting event, so it would not be as thrilling as something that is exciting",The movie was as thrilling as a sermon,Contradiction,The movie was exciting.
"To leave no stone unturned means to use every available resource, which is what the person in the context is thinking about doing.","The phrase ""leave no stone unturned"" is a metaphor for using every resource available, so the relationship between the premise and the hypothesis is A: Entailment",The figurative language in the hypothesis is a metaphor comparing the search for resources to turning over stones,"To leave no stone unturned means to use every resource available to oneself, but in this context the speaker is making sure that they use every resource available to them.",human,text-davinci-003,chatgpt,baseline,flute,"To leave no stone unturned means to use every available resource, which is what the person in the context is thinking about doing.",leave no stone unturned ran through my mind.,Entailment,Making sure I use every resource available to me ran through my mind.
"The hypothesis uses figurative language to describe the cold and dry conditions as being like a deadfall in winter before the snow, suggesting a barren and lifeless atmosphere","A deadfall is a natural phenomenon that occurs in the winter, so it is a deadfall in the forest.","A deadfall is a cold, dry place in the woods.",The hypothesis uses a simile to compare the cold and dry weather to a woodland deadfall in winter before the snow,text-davinci-003,baseline,human,chatgpt,flute,"A deadfall is a cold, dry place in the woods.",It was like a woodland deadfall in winter before the snow.,Entailment,It was cold and dry
Being late and sweaty for a first date are not good impressions to make and so the date cannot be considered amazing by any means.,"The figurative language in the hypothesis is an ironic statement, suggesting that the opposite of the premise is true","To treasure something means to treasure it, but in this context the date was terrible as the date turned up late and sweaty","There is no figurative language in the hypothesis, so the constraint cannot be fulfilled",human,text-davinci-003,baseline,chatgpt,flute,Being late and sweaty for a first date are not good impressions to make and so the date cannot be considered amazing by any means.,I absolutely treasure the fact that my first date was so amazing as I turned up late and sweaty,Contradiction,My first date was terrible as I turned up late and sweaty.
"The phrase ""aired her opinions"" is used figuratively to mean that she expressed her views on welfare publicly","To aire one's opinion on welfare means to give one's opinion on something, but in this context she is giving her opinion on the less fortunate.","Airing one's opinion means to speak out about something, usually in a public forum, in this case, the person is speaking out about welfare, which is a program that provides assistance to the less fortunate.","The figurative language in the hypothesis is ""aired her opinions,"" which means she expressed her thoughts publicly",text-davinci-003,baseline,human,chatgpt,flute,"Airing one's opinion means to speak out about something, usually in a public forum, in this case, the person is speaking out about welfare, which is a program that provides assistance to the less fortunate.",She aired her opinions on welfare.,Entailment,She openly give her point of view on the less fortunate's problem.
"The figurative language in the hypothesis is the use of the phrase ""not fair"" to express a sense of injustice or inequality",It can feel like an act of exclusion when friends get together for events and the person is not included in the invitation,It is not fair that friends all got together for dinner recently and I wasn't invited because it is not fair.,The hypothesis uses figurative language to express the speaker's feeling of injustice at not being invited to the dinner,chatgpt,human,baseline,text-davinci-003,flute,It can feel like an act of exclusion when friends get together for events and the person is not included in the invitation,It's not fair that my friends all got together for dinner recently and I wasn't invited,Entailment,Not happy about the fact that my friends all met up for dinner recently and I wasn't invited.
Stubbing your toe and cussing out loud is not a good thing because it makes someone angry and angry.,Stubbing your toe is often a very painful experience and can result in people feeling angry and cursing loudly,"The figurative language in the hypothesis is hyperbole, as it exaggerates the level of anger caused by stubbing a toe and cursing",The hypothesis is figuratively expressing that the premise caused a strong emotional reaction of anger,baseline,human,chatgpt,text-davinci-003,flute,Stubbing your toe is often a very painful experience and can result in people feeling angry and cursing loudly,Stubbing my toe last night and cussing out loud made me so mad,Entailment,I stubbed my toe last night and cursed angrily.
"To not be on your life means to be in a situation where the person is not happy or happy, but in this context the person is not happy or happy.","Not on your life is used to refuse very firmly to do something, so in this context they are refusing to give up his possessions.","The phrase ""not on your life"" is a figurative way of saying ""no way"" or ""absolutely not""","The figurative language in the hypothesis is a strong denial, implying that the speaker vehemently disagrees with the premise",baseline,human,text-davinci-003,chatgpt,flute,"Not on your life is used to refuse very firmly to do something, so in this context they are refusing to give up his possessions.",All they wanted were his - not on your life!,Entailment,All they wanted were his - no way!
