headline,writer_intent,Generated,Model,Task
Watch: Morano on Tucker Carlson: We Will Go From COVID Lockdowns To 'Climate Lockdowns' Under Biden,"[' someone says we will have climate lockdowns', 'biden will impose climate lockdowns']","The implied message of the above news headline is that Morano believes that under Biden, there will be more restrictions placed on people due to climate change",text-davinci-002,mrf
"CoronaVac, a chinese vaccine candidate being tested in Brazil, causes 10 types of cancer and suicidal thoughts",['that there are sever side effects for being vaccinated'],The vaccine is dangerous,text-davinci-002,mrf
Inslee unveils climate proposals ahead of full budget plan,['the environment is very important to candidates'],The implied message of the above news headline is that Governor Inslee is committed to fighting climate change,text-davinci-002,mrf
Climate change: Can sending fewer emails really save the planet?,"['people sending emails is contributing to climate change', 'emails can endanger the planet', 'using emails to communicate is harmful to the environment']",Sending fewer emails can save the planet by reducing carbon emissions,text-davinci-002,mrf
Lidocaine is effective in the treatment of COVID-19.,['lidocaine is effective against covid-19'],Lidocaine is an effective treatment for COVID-19,text-davinci-002,mrf
Neighborhood Wealth Dramatically Impacts Home Greenhouse Gas Emissions,['your wealth determines your amount of greenhouse emissions'],Wealthy people have a smaller ecological footprint,text-davinci-002,mrf
"Councils reporting thousands of 'climate-related' incidents, including flooding",['climate change is responsible for increase in flooding'],Climate change is real and affecting people now,text-davinci-002,mrf
CoronaVac vaccine is not safe and was not tested in the elderly,"['vaccine is not safe', 'vaccine was not tested on elderly', 'people should not take the vaccine']",The vaccine is not safe for the elderly,text-davinci-002,mrf
Biden introduces nominees for climate team,"['biden has started working on his climate plans', 'biden takes climate change seriously']",The message of the headline is that Biden is committed to fighting climate change,text-davinci-002,mrf
Disappointing: Trump admin picks warmist scientist to head new National Climate Assessment,['trump is a climate denier'],The Trump administration is not prioritizing climate change,text-davinci-002,mrf
"Climate crisis: Humans waging 'suicidal' war against natural world, UN secretary general warns","['people are the reason for warming', 'people play a role in climate change', 'tech is used to fight nature']","The message of the headline is that humans are causing climate change, and it is a serious problem",text-davinci-002,mrf
Navalny and climate on agenda in first Russia visit by UK minister since 2017,"['government officials are not on the same page', 'nalvany and climate matter to the uk minister']",The UK minister's first visit to Russia since 2017 implies that relations between the two countries have improved,text-davinci-002,mrf
CU researchers link prehistoric wildfires to climate change,['the wildfires will keep happening and get worse'],The article is about how climate change is affecting wildfires,text-davinci-002,mrf
Hydroxychloroquine can prevent COVID-19,['unknown intent'],The drug hydroxychloroquine can help prevent people from contracting COVID-19,text-davinci-002,mrf
Paris Climate Treaty Puts America Last,"[""climate treaties aren't fair"", 'america should stay out of climate treaties']",The Paris Climate Treaty is unfair to America,text-davinci-002,mrf
"Even under Trump, America did a better job at tackling the climate emergency than Canada did, says Green Party Leader Annamie Paul",['trump did a better job tackling climate change than canada'],Some climate plans are better than others,text-davinci-002,mrf
Only South Koreans have Covid-19 antibodies,['only certain groups have covid antibodies'],The headline implies that South Koreans are better off than other countries when it comes to Covid-19 antibodies,text-davinci-002,mrf
Death continues to be a regular guest at those who have agreed to take part in vaccine testing. Six people have died from Pfizer vaccine trials. 4 people were paralyzed.,"['vaccines are dangerous', 'vaccines can cause illness']",Vaccines are not always safe,text-davinci-002,mrf
Major Companies Call on Biden to Act on Climate Change,"['biden is getting pressured by businesses to take action on climate change', 'there are many companies that support climate change prevention']",The companies are urging Biden to take action on climate change,text-davinci-002,mrf
"Trump slams Paris climate accord at virtual G20 saying it was designed to kill the US economy, not save the environment",['trump slams the paris climate accord'],The message is that the Paris climate accord is not effective in saving the environment,text-davinci-002,mrf
Why the Biden administration should establish a Department of Climate,"['an environment crisis should have its own group of scientists', 'the biden administration should develop a department of climate']",The Biden administration should establish a Department of Climate to send a message that they are committed to fighting climate change,text-davinci-002,mrf
Chronic disease is on the rise  and stopping it requires a new Canadian Environmental Protection Act,"['climate change increases disease', 'the increases in chronic diseases are caused by climate change', ""a government agencies' act may prevent diseases from getting out of control.""]",Chronic disease is a problem that needs to be addressed,text-davinci-002,mrf
"Arctic animals adapting to climate change, but it may be causing declines: study",['arctic animal populations are decreasing'],"The message of the headline is that climate change is causing some Arctic animals to adapt, but it may also be causing declines in their populations",text-davinci-002,mrf
UN chief at climate summit: 'Can anybody still deny that we are facing a dramatic emergency?',['the world organization official is declaring a state of emergency for climate change.'],We need to take action on climate change,text-davinci-002,mrf
New Zealand declares climate emergency,"['high risk time', 'government trying to control effects', 'restrictions are coming']",The world needs to take climate change seriously,text-davinci-002,mrf
